15/12/2013 5:16:03 AM
INFO  2013-12-15 16:15:37,484 - Installing item: OnBeforeUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeUpdate.method.xml::Primary Steps::OnBeforeUpdate)
INFO  2013-12-15 16:15:37,490 - Successfully installed OnBeforeUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeUpdate.method.xml::Primary Steps::OnBeforeUpdate)
INFO  2013-12-15 16:15:37,495 - Installing model item: OnCreate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnCreate.method.xml)
INFO  2013-12-15 16:15:37,503 - Successfully installed OnCreate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnCreate.method.xml)
INFO  2013-12-15 16:15:37,508 - Installing item: OnCreate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnCreate.method.xml::Primary Steps::OnCreate)
INFO  2013-12-15 16:15:37,514 - Successfully installed OnCreate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnCreate.method.xml::Primary Steps::OnCreate)
INFO  2013-12-15 16:15:37,519 - Installing model item: IrrigationQuoteProduct (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\IrrigationQuoteProduct.TA_PRODUCT.entity.xml)
INFO  2013-12-15 16:15:37,594 - Successfully installed IrrigationQuoteProduct (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\IrrigationQuoteProduct.TA_PRODUCT.entity.xml)
INFO  2013-12-15 16:15:37,602 - Installing model item: OnAfterDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterDelete.method.xml)
INFO  2013-12-15 16:15:37,610 - Successfully installed OnAfterDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterDelete.method.xml)
INFO  2013-12-15 16:15:37,617 - Installing item: OnAfterDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterDelete.method.xml::Primary Steps::OnAfterDelete)
INFO  2013-12-15 16:15:37,626 - Successfully installed OnAfterDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterDelete.method.xml::Primary Steps::OnAfterDelete)
INFO  2013-12-15 16:15:37,632 - Installing model item: OnAfterInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterInsert.method.xml)
INFO  2013-12-15 16:15:37,639 - Successfully installed OnAfterInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterInsert.method.xml)
INFO  2013-12-15 16:15:37,644 - Installing item: OnAfterInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterInsert.method.xml::Primary Steps::OnAfterInsert)
INFO  2013-12-15 16:15:37,650 - Successfully installed OnAfterInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterInsert.method.xml::Primary Steps::OnAfterInsert)
INFO  2013-12-15 16:15:37,656 - Installing model item: OnAfterUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterUpdate.method.xml)
INFO  2013-12-15 16:15:37,665 - Successfully installed OnAfterUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterUpdate.method.xml)
INFO  2013-12-15 16:15:37,671 - Installing item: OnAfterUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterUpdate.method.xml::Primary Steps::OnAfterUpdate)
INFO  2013-12-15 16:15:37,688 - Successfully installed OnAfterUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnAfterUpdate.method.xml::Primary Steps::OnAfterUpdate)
INFO  2013-12-15 16:15:37,694 - Installing model item: OnBeforeDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnBeforeDelete.method.xml)
INFO  2013-12-15 16:15:37,701 - Successfully installed OnBeforeDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnBeforeDelete.method.xml)
INFO  2013-12-15 16:15:37,707 - Installing item: OnBeforeDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnBeforeDelete.method.xml::Primary Steps::OnBeforeDelete)
INFO  2013-12-15 16:15:37,712 - Successfully installed OnBeforeDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnBeforeDelete.method.xml::Primary Steps::OnBeforeDelete)
INFO  2013-12-15 16:15:37,719 - Installing model item: OnBeforeInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnBeforeInsert.method.xml)
INFO  2013-12-15 16:15:37,726 - Successfully installed OnBeforeInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnBeforeInsert.method.xml)
INFO  2013-12-15 16:15:37,734 - Installing item: OnBeforeInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteProduct\OnBeforeInsert.method.xml::Primary Steps::OnBeforeInsert)
